shipment_date,period,line,order_band,shipped_orders,mature_orders,confirmed_mispack_7d,station_catches
2026-06-01,baseline,East,standard,600,600,12,2
2026-06-01,baseline,East,complex,400,400,32,3
2026-06-01,baseline,West,standard,600,600,12,2
2026-06-01,baseline,West,complex,400,400,28,3
2026-06-02,baseline,East,standard,750,750,15,3
2026-06-02,baseline,East,complex,250,250,20,2
2026-06-02,baseline,West,standard,750,750,15,2
2026-06-02,baseline,West,complex,250,250,18,2
2026-06-03,baseline,East,standard,450,450,9,2
2026-06-03,baseline,East,complex,550,550,44,4
2026-06-03,baseline,West,standard,450,450,9,2
2026-06-03,baseline,West,complex,550,550,38,4
2026-06-15,pilot,East,standard,950,950,10,21
2026-06-15,pilot,East,complex,50,50,3,6
2026-06-15,pilot,West,standard,950,950,14,14
2026-06-15,pilot,West,complex,50,50,3,4
2026-06-16,pilot,East,standard,800,800,8,19
2026-06-16,pilot,East,complex,200,200,12,17
2026-06-16,pilot,West,standard,800,800,12,12
2026-06-16,pilot,West,complex,200,200,13,10
2026-06-17,pilot,East,standard,950,950,9,22
2026-06-17,pilot,East,complex,50,50,3,5
2026-06-17,pilot,West,standard,950,950,14,15
2026-06-17,pilot,West,complex,50,50,3,4
2026-06-26,pilot,East,standard,380,0,0,10
2026-06-26,pilot,East,complex,20,0,0,2
2026-06-26,pilot,West,standard,380,0,0,7
2026-06-26,pilot,West,complex,20,0,0,1
