metric,value
baseline_harbor_mature_orders,2400
baseline_harbor_mispack_count,63
baseline_harbor_mispack_rate,0.02625000
baseline_harbor_station_catches,13
baseline_ridge_mature_orders,2400
baseline_ridge_mispack_count,63
baseline_ridge_mispack_rate,0.02625000
baseline_ridge_station_catches,12
pilot_harbor_mature_orders,2400
pilot_harbor_mispack_count,30
pilot_harbor_mispack_rate,0.01250000
pilot_harbor_station_catches,38
pilot_ridge_mature_orders,2400
pilot_ridge_mispack_count,60
pilot_ridge_mispack_rate,0.02500000
pilot_ridge_station_catches,14
baseline_harbor_standard_mispack_rate,0.01500000
baseline_ridge_standard_mispack_rate,0.01500000
pilot_harbor_standard_mispack_rate,0.00666667
pilot_ridge_standard_mispack_rate,0.01500000
baseline_harbor_complex_mispack_rate,0.06000000
baseline_ridge_complex_mispack_rate,0.06000000
pilot_harbor_complex_mispack_rate,0.03000000
pilot_ridge_complex_mispack_rate,0.05500000
harbor_change,-0.01375000
ridge_change,-0.00125000
difference_in_differences,-0.01250000
planned_mix_adjusted_change,-0.01250000
planned_orders_per_line,16000
adjusted_avoided_mispacks_per_line,200.00
avoidable_quality_cost_per_line_usd,9600.00
harbor_baseline_productive_hours_per_full_shift,62.00
harbor_pilot_recurring_hours_per_full_shift,65.00
incremental_hours_per_shift,3.00
added_hours_per_line_20_shifts,60.00
added_labor_cost_per_line_usd,1920.00
ridge_one_off_training_cost_usd,96.00
harbor_planning_net_usd,7680.00
ridge_expansion_planning_net_after_training_usd,7584.00
labor_cap_hours_per_shift,68.00
baseline_harbor_full_shift_late_count,14
baseline_harbor_full_shift_late_rate,0.00583333
baseline_harbor_overtime_hours_per_full_shift,2.00
baseline_ridge_full_shift_late_count,14
baseline_ridge_full_shift_late_rate,0.00583333
baseline_ridge_overtime_hours_per_full_shift,2.00
pilot_harbor_full_shift_late_count,13
pilot_harbor_full_shift_late_rate,0.00541667
pilot_harbor_overtime_hours_per_full_shift,5.00
pilot_ridge_full_shift_late_count,13
pilot_ridge_full_shift_late_rate,0.00541667
pilot_ridge_overtime_hours_per_full_shift,2.00
