shipment_date,period,line,order_band,shipped_orders,mature_orders,confirmed_mispack_7d,station_catches
2026-07-06,baseline,Harbor,standard,600,600,9,2
2026-07-06,baseline,Harbor,complex,200,200,12,3
2026-07-06,baseline,Ridge,standard,600,600,9,2
2026-07-06,baseline,Ridge,complex,200,200,12,2
2026-07-07,baseline,Harbor,standard,600,600,9,2
2026-07-07,baseline,Harbor,complex,200,200,12,2
2026-07-07,baseline,Ridge,standard,600,600,9,1
2026-07-07,baseline,Ridge,complex,200,200,12,3
2026-07-08,baseline,Harbor,standard,600,600,9,1
2026-07-08,baseline,Harbor,complex,200,200,12,3
2026-07-08,baseline,Ridge,standard,600,600,9,2
2026-07-08,baseline,Ridge,complex,200,200,12,2
2026-07-20,pilot,Harbor,standard,600,600,4,7
2026-07-20,pilot,Harbor,complex,200,200,6,7
2026-07-20,pilot,Ridge,standard,600,600,9,2
2026-07-20,pilot,Ridge,complex,200,200,11,3
2026-07-21,pilot,Harbor,standard,600,600,4,6
2026-07-21,pilot,Harbor,complex,200,200,6,6
2026-07-21,pilot,Ridge,standard,600,600,9,2
2026-07-21,pilot,Ridge,complex,200,200,11,3
2026-07-22,pilot,Harbor,standard,600,600,4,7
2026-07-22,pilot,Harbor,complex,200,200,6,5
2026-07-22,pilot,Ridge,standard,600,600,9,2
2026-07-22,pilot,Ridge,complex,200,200,11,2
2026-07-31,pilot,Harbor,standard,240,0,0,3
2026-07-31,pilot,Harbor,complex,80,0,0,2
2026-07-31,pilot,Ridge,standard,240,0,0,1
2026-07-31,pilot,Ridge,complex,80,0,0,1
