consumer_id	creator_id	stage	case	variant	model	effort	execution	agent	start_recorded_utc	end_recorded_utc
C-U001	control-001	control	S01	ordinary	gpt-5.6-sol	high	completed	/root/control_use_001	2026-09-07T19:05:28.815533+00:00	2026-09-07T19:06:26.924223+00:00
C-U002	control-001	control	S01	challenging	gpt-5.6-sol	high	completed	/root/control_use_002	2026-09-07T19:05:29.243067+00:00	2026-09-07T19:08:01.693761+00:00
C-U003	control-002	control	S01	ordinary	gpt-5.6-sol	high	completed	/root/control_use_003	2026-09-07T19:05:29.711839+00:00	2026-09-07T19:06:26.924223+00:00
C-U004	control-002	control	S01	challenging	gpt-5.6-sol	high	completed	/root/control_use_004	2026-09-07T19:05:30.135963+00:00	2026-09-07T19:08:01.693761+00:00
C-U005	control-003	control	S01	ordinary	gpt-5.6-sol	high	completed	/root/control_use_005	2026-09-07T19:05:30.563190+00:00	2026-09-07T19:08:01.693761+00:00
C-U006	control-003	control	S01	challenging	gpt-5.6-sol	high	completed	/root/control_use_006	2026-09-07T19:07:59.567813+00:00	2026-09-07T19:09:56.162150+00:00
C-U007	control-004	control	S01	ordinary	gpt-5.6-sol	high	completed	/root/control_use_007	2026-09-07T19:07:59.999084+00:00	2026-09-07T19:09:56.162150+00:00
C-U008	control-004	control	S01	challenging	gpt-5.6-sol	high	completed	/root/control_use_008	2026-09-07T19:08:00.420854+00:00	2026-09-07T19:09:56.162150+00:00
C-U009	control-005	control	S01	ordinary	gpt-5.6-sol	high	completed	/root/control_use_009	2026-09-07T19:08:00.847974+00:00	2026-09-07T19:09:56.162150+00:00
C-U010	control-005	control	S01	challenging	gpt-5.6-sol	high	completed	/root/control_use_010	2026-09-07T19:08:01.269512+00:00	2026-09-07T19:09:56.162150+00:00
C-U011	control-006	control	S01	ordinary	gpt-5.6-sol	high	completed	/root/control_use_011	2026-09-07T19:09:54.371052+00:00	2026-09-07T19:11:33.597742+00:00
C-U012	control-006	control	S01	challenging	gpt-5.6-sol	high	completed	/root/control_use_012	2026-09-07T19:09:54.806022+00:00	2026-09-07T19:11:33.597742+00:00
C-U013	control-007	control	S01	ordinary	gpt-5.6-sol	high	completed	/root/control_use_013	2026-09-07T19:09:55.306400+00:00	2026-09-07T19:11:33.597742+00:00
C-U014	control-007	control	S01	challenging	gpt-5.6-sol	high	completed	/root/control_use_014	2026-09-07T19:09:55.734273+00:00	2026-09-07T19:11:33.597742+00:00
C-U015	control-008	control	S01	ordinary	gpt-5.6-sol	high	completed	/root/control_use_015	2026-09-07T19:15:38.936265+00:00	2026-09-07T19:17:59.694600+00:00
C-U016	control-008	control	S01	challenging	gpt-5.6-sol	high	completed	/root/control_use_016	2026-09-07T19:15:39.357592+00:00	2026-09-07T19:17:59.694600+00:00
C-U017	control-009	control	S01	ordinary	gpt-5.6-sol	high	completed	/root/control_use_017	2026-09-07T19:15:39.783630+00:00	2026-09-07T19:17:59.694600+00:00
C-U018	control-009	control	S01	challenging	gpt-5.6-sol	high	completed	/root/control_use_018	2026-09-07T19:15:40.213025+00:00	2026-09-07T19:17:59.694600+00:00
C-U019	control-010	control	S01	ordinary	gpt-5.6-sol	high	completed	/root/control_use_019	2026-09-07T19:15:40.639738+00:00	2026-09-07T19:17:59.694600+00:00
C-U020	control-010	control	S01	challenging	gpt-5.6-sol	high	completed	/root/control_use_020	2026-09-07T19:17:57.622864+00:00	2026-09-07T19:20:15.945534+00:00
C-U021	control-011	control	S01	ordinary	gpt-5.6-sol	high	completed	/root/control_use_021	2026-09-07T19:17:58.044795+00:00	2026-09-07T19:20:15.945534+00:00
C-U022	control-011	control	S01	challenging	gpt-5.6-sol	high	completed	/root/control_use_022	2026-09-07T19:17:58.451143+00:00	2026-09-07T19:20:15.945534+00:00
C-U023	control-012	control	S01	ordinary	gpt-5.6-sol	high	completed	/root/control_use_023	2026-09-07T19:17:58.869332+00:00	2026-09-07T19:20:15.945534+00:00
C-U024	control-012	control	S01	challenging	gpt-5.6-sol	high	completed	/root/control_use_024	2026-09-07T19:17:59.284734+00:00	2026-09-07T19:20:15.945534+00:00
C-U025	control-013	control	S03	ordinary	gpt-5.6-sol	high	completed			2026-09-07T19:22:10.891657+00:00
C-U026	control-013	control	S03	challenging	gpt-5.6-sol	high	completed			2026-09-07T19:24:26.598555+00:00
C-U027	control-014	control	S03	ordinary	gpt-5.6-sol	high	completed	/root/control_use_027	2026-09-07T19:24:25.787199+00:00	2026-09-07T19:27:22.724419+00:00
C-U028	control-014	control	S03	challenging	gpt-5.6-sol	high	completed	/root/control_use_028	2026-09-07T19:24:26.192798+00:00	2026-09-07T19:27:22.724419+00:00
C-U029	control-015	control	S03	ordinary	gpt-5.6-sol	high	completed	/root/control_use_029	2026-09-07T19:27:21.898942+00:00	2026-09-07T19:35:38.063473+00:00
C-U030	control-015	control	S03	challenging	gpt-5.6-sol	high	completed	/root/control_use_030	2026-09-07T19:27:22.314039+00:00	2026-09-07T19:35:38.063473+00:00
C-U031	control-016	control	S03	ordinary	gpt-5.6-sol	high	completed	/root/control_use_031	2026-09-07T19:35:38.469337+00:00	2026-09-07T19:35:38.875998+00:00
C-U032	control-016	control	S03	challenging	gpt-5.6-sol	high	completed	/root/control_use_032	2026-09-07T19:35:39.282046+00:00	2026-09-07T19:39:07.885763+00:00
C-U033	control-017	control	S03	ordinary	gpt-5.6-sol	high	completed	/root/control_use_033	2026-09-07T19:35:39.690974+00:00	2026-09-07T19:39:07.885763+00:00
C-U034	control-017	control	S03	challenging	gpt-5.6-sol	high	completed	/root/control_use_034	2026-09-07T19:35:40.096378+00:00	2026-09-07T19:39:07.885763+00:00
C-U035	control-018	control	S03	ordinary	gpt-5.6-sol	high	completed	/root/control_use_035	2026-09-07T19:35:40.513951+00:00	2026-09-07T19:39:07.885763+00:00
C-U036	control-018	control	S03	challenging	gpt-5.6-sol	high	completed	/root/control_use_036	2026-09-07T19:39:08.324055+00:00	2026-09-07T19:40:50.181965+00:00
C-U037	control-019	control	S03	ordinary	gpt-5.6-sol	high	completed	/root/control_use_037	2026-09-07T19:39:08.739769+00:00	2026-09-07T19:40:50.181965+00:00
C-U038	control-019	control	S03	challenging	gpt-5.6-sol	high	completed	/root/control_use_038	2026-09-07T19:39:09.161179+00:00	2026-09-07T19:43:18.862710+00:00
C-U039	control-020	control	S03	ordinary	gpt-5.6-sol	high	completed	/root/control_use_039	2026-09-07T19:39:09.574491+00:00	2026-09-07T19:41:59.327316+00:00
C-U040	control-020	control	S03	challenging	gpt-5.6-sol	high	completed	/root/control_use_040	2026-09-07T19:40:50.615441+00:00	2026-09-07T19:45:56.058746+00:00
C-U041	control-021	control	S03	ordinary	gpt-5.6-sol	high	completed	/root/control_use_041	2026-09-07T19:41:59.731224+00:00	2026-09-07T19:45:56.058746+00:00
C-U042	control-021	control	S03	challenging	gpt-5.6-sol	high	completed	/root/control_use_042	2026-09-07T19:42:00.152074+00:00	2026-09-07T19:45:56.058746+00:00
C-U043	control-022	control	S03	ordinary	gpt-5.6-sol	high	completed	/root/control_use_043	2026-09-07T19:45:56.489872+00:00	2026-09-07T19:47:46.969273+00:00
C-U044	control-022	control	S03	challenging	gpt-5.6-sol	high	completed	/root/control_use_044	2026-09-07T19:45:56.901047+00:00	2026-09-07T19:49:16.735607+00:00
C-U045	control-023	control	S03	ordinary	gpt-5.6-sol	high	completed	/root/control_use_045	2026-09-07T19:45:57.314691+00:00	2026-09-07T19:48:08.296001+00:00
C-U046	control-023	control	S03	challenging	gpt-5.6-sol	high	completed	/root/control_use_046	2026-09-07T19:47:47.393265+00:00	2026-09-07T19:50:18.540648+00:00
C-U047	control-024	control	S03	ordinary	gpt-5.6-sol	high	completed	/root/control_use_047	2026-09-07T19:48:08.702375+00:00	2026-09-07T19:50:18.540648+00:00
C-U048	control-024	control	S03	challenging	gpt-5.6-sol	high	completed	/root/control_use_048	2026-09-07T19:49:17.142957+00:00	2026-09-07T19:52:00.243421+00:00
C-U049	control-025	control	S05	ordinary	gpt-5.6-sol	high	completed	/root/control_use_049	2026-09-07T19:59:20.983474+00:00	2026-09-07T20:03:24.619934+00:00
C-U050	control-025	control	S05	challenging	gpt-5.6-sol	high	completed	/root/control_use_050	2026-09-07T20:03:25.026877+00:00	2026-09-07T20:07:03.647922+00:00
C-U051	control-026	control	S05	ordinary	gpt-5.6-sol	high	completed	/root/control_use_051	2026-09-07T20:03:25.444134+00:00	2026-09-07T20:08:57.144725+00:00
C-U052	control-026	control	S05	challenging	gpt-5.6-sol	high	completed	/root/control_use_052	2026-09-07T20:03:25.856693+00:00	2026-09-07T20:08:57.144725+00:00
C-U053	control-027	control	S05	ordinary	gpt-5.6-sol	high	completed	/root/control_use_053	2026-09-07T20:03:26.266038+00:00	2026-09-07T20:08:57.144725+00:00
C-U054	control-027	control	S05	challenging	gpt-5.6-sol	high	completed	/root/control_use_054	2026-09-07T20:08:57.575534+00:00	2026-09-07T20:13:58.998022+00:00
C-U055	control-028	control	S05	ordinary	gpt-5.6-sol	high	completed	/root/control_use_055	2026-09-07T20:08:57.982842+00:00	2026-09-07T20:13:58.998022+00:00
C-U056	control-028	control	S05	challenging	gpt-5.6-sol	high	completed	/root/control_use_056	2026-09-07T20:08:58.392060+00:00	2026-09-07T20:13:58.998022+00:00
C-U057	control-029	control	S05	ordinary	gpt-5.6-sol	high	completed	/root/control_use_057	2026-09-07T20:13:59.414040+00:00	2026-09-07T20:15:54.630117+00:00
C-U058	control-029	control	S05	challenging	gpt-5.6-sol	high	completed	/root/control_use_058	2026-09-07T20:13:59.839021+00:00	2026-09-07T20:17:58.310723+00:00
C-U059	control-030	control	S05	ordinary	gpt-5.6-sol	high	completed	/root/control_use_059	2026-09-07T20:14:00.286964+00:00	2026-09-07T20:20:02.473038+00:00
C-U060	control-030	control	S05	challenging	gpt-5.6-sol	high	completed	/root/control_use_060	2026-09-07T20:14:00.697605+00:00	2026-09-07T20:20:02.473038+00:00
C-U061	control-031	control	S05	ordinary	gpt-5.6-sol	high	completed	/root/control_use_061	2026-09-07T20:15:55.057864+00:00	2026-09-07T20:20:02.473038+00:00
C-U062	control-031	control	S05	challenging	gpt-5.6-sol	high	completed	/root/control_use_062	2026-09-07T20:17:58.743036+00:00	2026-09-07T20:22:35.203888+00:00
C-U063	control-032	control	S05	ordinary	gpt-5.6-sol	high	completed	/root/control_use_063	2026-09-07T20:20:02.887056+00:00	2026-09-07T20:22:35.203888+00:00
C-U064	control-032	control	S05	challenging	gpt-5.6-sol	high	completed	/root/control_use_064	2026-09-07T20:20:03.317837+00:00	2026-09-07T20:26:33.325896+00:00
C-U065	control-033	control	S05	ordinary	gpt-5.6-sol	high	completed	/root/control_use_065	2026-09-07T20:20:03.751276+00:00	2026-09-07T20:23:52.763941+00:00
C-U066	control-033	control	S05	challenging	gpt-5.6-sol	high	completed	/root/control_use_066	2026-09-07T20:22:35.630616+00:00	2026-09-07T20:29:33.055497+00:00
C-U067	control-034	control	S05	ordinary	gpt-5.6-sol	high	completed	/root/control_use_067	2026-09-07T20:22:36.036956+00:00	2026-09-07T20:26:33.325896+00:00
C-U068	control-034	control	S05	challenging	gpt-5.6-sol	high	completed	/root/control_use_068	2026-09-07T20:23:53.182728+00:00	2026-09-07T20:29:33.055497+00:00
C-U069	control-035	control	S05	ordinary	gpt-5.6-sol	high	completed	/root/control_use_069	2026-09-07T20:26:33.753404+00:00	2026-09-07T20:29:33.055497+00:00
C-U070	control-035	control	S05	challenging	gpt-5.6-sol	high	completed	/root/control_use_070	2026-09-07T20:26:34.166835+00:00	2026-09-07T20:31:39.991863+00:00
C-U071	control-036	control	S05	ordinary	gpt-5.6-sol	high	completed	/root/control_use_071	2026-09-07T20:29:33.463216+00:00	2026-09-07T20:33:09.503189+00:00
C-U072	control-036	control	S05	challenging	gpt-5.6-sol	high	completed	/root/control_use_072	2026-09-07T20:29:33.869863+00:00	2026-09-07T20:37:09.334191+00:00
C-U073	control-037	control	S06	ordinary	gpt-5.6-sol	high	completed	/root/control_use_073	2026-09-07T20:33:09.937478+00:00	2026-09-07T20:37:09.334191+00:00
C-U074	control-037	control	S06	challenging	gpt-5.6-sol	high	completed	/root/control_use_074	2026-09-07T21:03:23.987302+00:00	2026-09-07T21:07:04.208029+00:00
C-U075	control-038	control	S06	ordinary	gpt-5.6-sol	high	completed	/root/control_use_075	2026-09-07T21:03:24.393081+00:00	2026-09-07T21:08:37.701107+00:00
C-U076	control-038	control	S06	challenging	gpt-5.6-sol	high	completed	/root/control_use_076	2026-09-07T21:08:38.548220+00:00	2026-09-07T21:12:56.428909+00:00
C-U077	control-039	control	S06	ordinary	gpt-5.6-sol	high	completed	/root/control_use_077	2026-09-07T21:10:17.875090+00:00	2026-09-07T21:11:55.781394+00:00
C-U078	control-039	control	S06	challenging	gpt-5.6-sol	high	completed	/root/control_use_078	2026-09-07T21:11:56.609575+00:00	2026-09-07T21:16:03.046467+00:00
C-U079	control-040	control	S06	ordinary	gpt-5.6-sol	high	completed	/root/control_use_079	2026-09-07T21:12:57.678415+00:00	2026-09-07T21:17:03.871342+00:00
C-U080	control-040	control	S06	challenging	gpt-5.6-sol	high	completed	/root/control_use_080	2026-09-07T21:16:05.259946+00:00	2026-09-07T21:21:05.167066+00:00
C-U081	control-041	control	S06	ordinary	gpt-5.6-sol	high	completed	/root/control_use_081	2026-09-07T21:16:05.691247+00:00	2026-09-07T21:21:05.167066+00:00
C-U082	control-041	control	S06	challenging	gpt-5.6-sol	high	completed	/root/control_use_082	2026-09-07T21:17:05.110982+00:00	2026-09-07T21:23:17.841811+00:00
C-U083	control-042	control	S06	ordinary	gpt-5.6-sol	high	completed	/root/control_use_083	2026-09-07T21:17:05.521563+00:00	2026-09-07T21:21:05.167066+00:00
C-U084	control-042	control	S06	challenging	gpt-5.6-sol	high	completed	/root/control_use_084	2026-09-07T21:21:08.731484+00:00	
C-U085	control-043	control	S06	ordinary	gpt-5.6-sol	high	completed	/root/control_use_085	2026-09-07T21:23:19.664960+00:00	
C-U086	control-043	control	S06	challenging	gpt-5.6-sol	high	completed	/root/control_use_086		
C-U087	control-044	control	S06	ordinary	gpt-5.6-sol	high	completed	/root/control_use_087		
C-U088	control-044	control	S06	challenging	gpt-5.6-sol	high	completed	/root/control_use_088		
C-U089	control-045	control	S06	ordinary	gpt-5.6-sol	high	completed	/root/control_use_089		
C-U090	control-045	control	S06	challenging	gpt-5.6-sol	high	completed	/root/control_use_090		
C-U091	control-046	control	S06	ordinary	gpt-5.6-sol	high	completed	/root/control_use_091		
C-U092	control-046	control	S06	challenging	gpt-5.6-sol	high	completed	/root/control_use_092		
C-U093	control-047	control	S06	ordinary	gpt-5.6-sol	high	completed	/root/control_use_093		
C-U094	control-047	control	S06	challenging	gpt-5.6-sol	high	prepared			
C-U095	control-048	control	S06	ordinary	gpt-5.6-sol	high	prepared			
C-U096	control-048	control	S06	challenging	gpt-5.6-sol	high	prepared			
C-U097	control-049	control	S09	ordinary	gpt-5.6-sol	high	completed	/root/control_use_097	2026-09-07T23:00:29.586376+00:00	2026-09-07T23:10:15.221731+00:00
C-U098	control-049	control	S09	challenging	gpt-5.6-sol	high	completed	/root/control_use_098	2026-09-07T23:02:19.564579+00:00	2026-09-07T23:07:17.986943+00:00
C-U099	control-050	control	S09	ordinary	gpt-5.6-sol	high	completed	/root/control_use_099	2026-09-07T23:02:20.099719+00:00	2026-09-07T23:10:15.794672+00:00
C-U100	control-050	control	S09	challenging	gpt-5.6-sol	high	completed	/root/control_use_100	2026-09-07T23:02:20.617840+00:00	2026-09-07T23:10:16.352497+00:00
C-U101	control-051	control	S09	ordinary	gpt-5.6-sol	high	completed	/root/control_use_101	2026-09-07T23:16:26.745355+00:00	2026-09-07T23:22:02.089878+00:00
C-U102	control-051	control	S09	challenging	gpt-5.6-sol	high	completed	/root/control_use_102	2026-09-07T23:16:27.286025+00:00	2026-09-07T23:22:02.614515+00:00
C-U103	control-052	control	S09	ordinary	gpt-5.6-sol	high	completed	/root/control_use_103	2026-09-07T23:16:27.822275+00:00	2026-09-07T23:22:03.142219+00:00
C-U104	control-052	control	S09	challenging	gpt-5.6-sol	high	completed	/root/control_use_104	2026-09-07T23:16:28.356018+00:00	2026-09-07T23:23:13.192853+00:00
C-U105	control-053	control	S09	ordinary	gpt-5.6-sol	high	completed	/root/control_use_105	2026-09-07T23:16:28.910894+00:00	2026-09-07T23:22:03.660652+00:00
C-U106	control-053	control	S09	challenging	gpt-5.6-sol	high	prepared			
C-U107	control-054	control	S09	ordinary	gpt-5.6-sol	high	prepared			
C-U108	control-054	control	S09	challenging	gpt-5.6-sol	high	prepared			
C-U109	control-055	control	S09	ordinary	gpt-5.6-sol	high	prepared			
C-U110	control-055	control	S09	challenging	gpt-5.6-sol	high	prepared			
C-U111	control-056	control	S09	ordinary	gpt-5.6-sol	high	prepared			
C-U112	control-056	control	S09	challenging	gpt-5.6-sol	high	prepared			
C-U113	control-057	control	S09	ordinary	gpt-5.6-sol	high	prepared			
C-U114	control-057	control	S09	challenging	gpt-5.6-sol	high	prepared			
C-U115	control-058	control	S09	ordinary	gpt-5.6-sol	high	prepared			
C-U116	control-058	control	S09	challenging	gpt-5.6-sol	high	prepared			
C-U117	control-059	control	S09	ordinary	gpt-5.6-sol	high	prepared			
C-U118	control-059	control	S09	challenging	gpt-5.6-sol	high	prepared			
C-U119	control-060	control	S09	ordinary	gpt-5.6-sol	high	prepared			
C-U120	control-060	control	S09	challenging	gpt-5.6-sol	high	prepared			
C-U121	control-061	control	S10	ordinary	gpt-5.6-sol	high	prepared			
C-U122	control-061	control	S10	challenging	gpt-5.6-sol	high	prepared			
C-U123	control-062	control	S10	ordinary	gpt-5.6-sol	high	prepared			
C-U124	control-062	control	S10	challenging	gpt-5.6-sol	high	prepared			
C-U125	control-063	control	S10	ordinary	gpt-5.6-sol	high	prepared			
C-U126	control-063	control	S10	challenging	gpt-5.6-sol	high	prepared			
C-U127	control-064	control	S10	ordinary	gpt-5.6-sol	high	prepared			
C-U128	control-064	control	S10	challenging	gpt-5.6-sol	high	prepared			
C-U129	control-065	control	S10	ordinary	gpt-5.6-sol	high	prepared			
C-U130	control-065	control	S10	challenging	gpt-5.6-sol	high	prepared			
C-U131	control-066	control	S10	ordinary	gpt-5.6-sol	high	prepared			
C-U132	control-066	control	S10	challenging	gpt-5.6-sol	high	prepared			
C-U133	control-067	control	S10	ordinary	gpt-5.6-sol	high	prepared			
C-U134	control-067	control	S10	challenging	gpt-5.6-sol	high	prepared			
C-U135	control-068	control	S10	ordinary	gpt-5.6-sol	high	prepared			
C-U136	control-068	control	S10	challenging	gpt-5.6-sol	high	prepared			
C-U137	control-069	control	S10	ordinary	gpt-5.6-sol	high	prepared			
C-U138	control-069	control	S10	challenging	gpt-5.6-sol	high	prepared			
C-U139	control-070	control	S10	ordinary	gpt-5.6-sol	high	prepared			
C-U140	control-070	control	S10	challenging	gpt-5.6-sol	high	prepared			
C-U141	control-071	control	S10	ordinary	gpt-5.6-sol	high	prepared			
C-U142	control-071	control	S10	challenging	gpt-5.6-sol	high	prepared			
C-U143	control-072	control	S10	ordinary	gpt-5.6-sol	high	prepared			
C-U144	control-072	control	S10	challenging	gpt-5.6-sol	high	prepared			
