trial_id	stage	case	arm	repetition	model	effort	execution	agent	start_recorded_utc	end_recorded_utc
control-001	control	S01	C	1	gpt-5.6-luna	low	completed	/root/control_make_001	2026-09-07T18:21:05.298090+00:00	2026-09-07T18:22:35.861941+00:00
control-002	control	S01	C	2	gpt-5.6-luna	low	completed	/root/control_make_002	2026-09-07T18:21:05.730055+00:00	2026-09-07T18:22:36.289323+00:00
control-003	control	S01	C	1	gpt-5.6-luna	high	completed	/root/control_make_003	2026-09-07T18:21:06.222418+00:00	2026-09-07T18:22:36.712215+00:00
control-004	control	S01	C	2	gpt-5.6-luna	high	completed	/root/control_make_004	2026-09-07T18:21:06.641779+00:00	2026-09-07T18:22:37.132158+00:00
control-005	control	S01	C	1	gpt-5.6-sol	low	completed	/root/control_make_005	2026-09-07T18:21:07.071400+00:00	2026-09-07T18:22:37.552820+00:00
control-006	control	S01	C	2	gpt-5.6-sol	low	completed	/root/control_make_006	2026-09-07T18:22:37.970736+00:00	2026-09-07T18:29:07.684239+00:00
control-007	control	S01	C	1	gpt-5.6-sol	high	completed	/root/control_make_007	2026-09-07T18:22:38.388206+00:00	2026-09-07T18:29:07.684239+00:00
control-008	control	S01	C	2	gpt-5.6-sol	high	completed	/root/control_make_008	2026-09-07T18:22:38.813983+00:00	2026-09-07T18:29:07.684239+00:00
control-009	control	S01	C	1	gpt-6-astra	low	completed	/root/control_make_009	2026-09-07T18:22:39.262910+00:00	2026-09-07T18:29:07.684239+00:00
control-010	control	S01	C	2	gpt-6-astra	low	completed			2026-09-07T18:29:07.684239+00:00
control-011	control	S01	C	1	gpt-6-astra	high	completed	/root/control_make_011	2026-09-07T18:29:06.000428+00:00	2026-09-07T18:29:07.684239+00:00
control-012	control	S01	C	2	gpt-6-astra	high	completed	/root/control_make_012	2026-09-07T18:29:06.422913+00:00	2026-09-07T18:30:27.741207+00:00
control-013	control	S03	C	1	gpt-5.6-luna	low	completed	/root/control_make_013	2026-09-07T18:29:06.839890+00:00	2026-09-07T18:30:27.741207+00:00
control-014	control	S03	C	2	gpt-5.6-luna	low	completed	/root/control_make_014	2026-09-07T18:29:07.259484+00:00	2026-09-07T18:30:27.741207+00:00
control-015	control	S03	C	1	gpt-5.6-luna	high	completed	/root/control_make_015	2026-09-07T18:30:26.891151+00:00	2026-09-07T18:34:26.617047+00:00
control-016	control	S03	C	2	gpt-5.6-luna	high	completed	/root/control_make_016	2026-09-07T18:30:27.319620+00:00	2026-09-07T18:34:26.617047+00:00
control-017	control	S03	C	1	gpt-5.6-sol	low	completed	/root/control_make_017	2026-09-07T18:32:12.134427+00:00	2026-09-07T18:34:26.617047+00:00
control-018	control	S03	C	2	gpt-5.6-sol	low	completed	/root/control_make_018	2026-09-07T18:32:12.561760+00:00	2026-09-07T18:34:26.617047+00:00
