trial_id	stage	case	arm	repetition	model	effort
control-001	control	S01	C	1	gpt-5.6-luna	low
control-002	control	S01	C	2	gpt-5.6-luna	low
control-003	control	S01	C	1	gpt-5.6-luna	high
control-004	control	S01	C	2	gpt-5.6-luna	high
control-005	control	S01	C	1	gpt-5.6-sol	low
control-006	control	S01	C	2	gpt-5.6-sol	low
control-007	control	S01	C	1	gpt-5.6-sol	high
control-008	control	S01	C	2	gpt-5.6-sol	high
control-009	control	S01	C	1	gpt-6-astra	low
control-010	control	S01	C	2	gpt-6-astra	low
control-011	control	S01	C	1	gpt-6-astra	high
control-012	control	S01	C	2	gpt-6-astra	high
control-013	control	S03	C	1	gpt-5.6-luna	low
control-014	control	S03	C	2	gpt-5.6-luna	low
control-015	control	S03	C	1	gpt-5.6-luna	high
control-016	control	S03	C	2	gpt-5.6-luna	high
control-017	control	S03	C	1	gpt-5.6-sol	low
control-018	control	S03	C	2	gpt-5.6-sol	low
control-019	control	S03	C	1	gpt-5.6-sol	high
control-020	control	S03	C	2	gpt-5.6-sol	high
control-021	control	S03	C	1	gpt-6-astra	low
control-022	control	S03	C	2	gpt-6-astra	low
control-023	control	S03	C	1	gpt-6-astra	high
control-024	control	S03	C	2	gpt-6-astra	high
control-025	control	S05	C	1	gpt-5.6-luna	low
control-026	control	S05	C	2	gpt-5.6-luna	low
control-027	control	S05	C	1	gpt-5.6-luna	high
control-028	control	S05	C	2	gpt-5.6-luna	high
control-029	control	S05	C	1	gpt-5.6-sol	low
control-030	control	S05	C	2	gpt-5.6-sol	low
control-031	control	S05	C	1	gpt-5.6-sol	high
control-032	control	S05	C	2	gpt-5.6-sol	high
control-033	control	S05	C	1	gpt-6-astra	low
control-034	control	S05	C	2	gpt-6-astra	low
control-035	control	S05	C	1	gpt-6-astra	high
control-036	control	S05	C	2	gpt-6-astra	high
control-037	control	S06	C	1	gpt-5.6-luna	low
control-038	control	S06	C	2	gpt-5.6-luna	low
control-039	control	S06	C	1	gpt-5.6-luna	high
control-040	control	S06	C	2	gpt-5.6-luna	high
control-041	control	S06	C	1	gpt-5.6-sol	low
control-042	control	S06	C	2	gpt-5.6-sol	low
control-043	control	S06	C	1	gpt-5.6-sol	high
control-044	control	S06	C	2	gpt-5.6-sol	high
control-045	control	S06	C	1	gpt-6-astra	low
control-046	control	S06	C	2	gpt-6-astra	low
control-047	control	S06	C	1	gpt-6-astra	high
control-048	control	S06	C	2	gpt-6-astra	high
control-049	control	S09	C	1	gpt-5.6-luna	low
control-050	control	S09	C	2	gpt-5.6-luna	low
control-051	control	S09	C	1	gpt-5.6-luna	high
control-052	control	S09	C	2	gpt-5.6-luna	high
control-053	control	S09	C	1	gpt-5.6-sol	low
control-054	control	S09	C	2	gpt-5.6-sol	low
control-055	control	S09	C	1	gpt-5.6-sol	high
control-056	control	S09	C	2	gpt-5.6-sol	high
control-057	control	S09	C	1	gpt-6-astra	low
control-058	control	S09	C	2	gpt-6-astra	low
control-059	control	S09	C	1	gpt-6-astra	high
control-060	control	S09	C	2	gpt-6-astra	high
control-061	control	S10	C	1	gpt-5.6-luna	low
control-062	control	S10	C	2	gpt-5.6-luna	low
control-063	control	S10	C	1	gpt-5.6-luna	high
control-064	control	S10	C	2	gpt-5.6-luna	high
control-065	control	S10	C	1	gpt-5.6-sol	low
control-066	control	S10	C	2	gpt-5.6-sol	low
control-067	control	S10	C	1	gpt-5.6-sol	high
control-068	control	S10	C	2	gpt-5.6-sol	high
control-069	control	S10	C	1	gpt-6-astra	low
control-070	control	S10	C	2	gpt-6-astra	low
control-071	control	S10	C	1	gpt-6-astra	high
control-072	control	S10	C	2	gpt-6-astra	high
