consumer_id	creator_id	stage	case	variant	model	effort	paired_consumer_id	execution	agent	start_recorded_utc	end_recorded_utc
F-U001	focus-001	focused	S03	ordinary	gpt-5.6-sol	high	C-U037	completed	/root/focus_u001	2026-09-08T01:20:45.013395+00:00	2026-09-08T01:22:37.137341+00:00
F-U002	focus-001	focused	S03	challenging	gpt-5.6-sol	high	C-U038	completed	/root/focus_u002	2026-09-08T01:21:21.180032+00:00	2026-09-08T01:23:17.292085+00:00
F-U003	focus-002	focused	S03	ordinary	gpt-5.6-sol	high	C-U039	completed	/root/focus_u003	2026-09-08T01:22:37.705934+00:00	2026-09-08T01:23:46.336143+00:00
F-U004	focus-002	focused	S03	challenging	gpt-5.6-sol	high	C-U040	completed	/root/focus_u004	2026-09-08T01:23:17.829740+00:00	2026-09-08T01:25:54.203661+00:00
F-U005	focus-003	focused	S03	ordinary	gpt-5.6-sol	high	C-U045	completed	/root/focus_u005	2026-09-08T01:23:46.977209+00:00	2026-09-08T01:25:54.281789+00:00
F-U006	focus-003	focused	S03	challenging	gpt-5.6-sol	high	C-U046	completed	/root/focus_u006	2026-09-08T01:25:54.350157+00:00	2026-09-08T01:28:19.085835+00:00
F-U007	focus-004	focused	S03	ordinary	gpt-5.6-sol	high	C-U047	completed	/root/focus_u007	2026-09-08T01:25:54.425630+00:00	2026-09-08T01:28:19.153445+00:00
F-U008	focus-004	focused	S03	challenging	gpt-5.6-sol	high	C-U048	completed	/root/focus_u008	2026-09-08T01:28:19.238930+00:00	2026-09-08T01:29:22.172615+00:00
F-U009	focus-005	focused	S06	ordinary	gpt-5.6-sol	high	C-U085	completed	/root/focus_u009	2026-09-08T01:36:46.465718+00:00	2026-09-08T01:41:55.832933+00:00
F-U010	focus-005	focused	S06	challenging	gpt-5.6-sol	high	C-U086	completed	/root/focus_u010	2026-09-08T01:36:46.547006+00:00	2026-09-08T01:41:55.913142+00:00
F-U011	focus-006	focused	S06	ordinary	gpt-5.6-sol	high	C-U087	completed	/root/focus_u011	2026-09-08T01:36:46.616485+00:00	2026-09-08T01:41:55.989464+00:00
F-U012	focus-006	focused	S06	challenging	gpt-5.6-sol	high	C-U088	completed	/root/focus_u012	2026-09-08T01:36:46.707163+00:00	2026-09-08T01:41:56.056302+00:00
F-U013	focus-007	focused	S06	ordinary	gpt-5.6-sol	high	C-U093	completed	/root/focus_u013		2026-09-08T01:41:56.207891+00:00
F-U014	focus-007	focused	S06	challenging	gpt-5.6-sol	high	C-U094	completed	/root/focus_u014	2026-09-08T01:41:56.276022+00:00	2026-09-08T01:43:58.619294+00:00
F-U015	focus-008	focused	S06	ordinary	gpt-5.6-sol	high	C-U095	completed	/root/focus_u015	2026-09-08T01:41:56.353174+00:00	2026-09-08T01:43:58.697076+00:00
F-U016	focus-008	focused	S06	challenging	gpt-5.6-sol	high	C-U096	completed	/root/focus_u016	2026-09-08T01:41:56.425125+00:00	2026-09-08T01:43:58.779166+00:00
F-U017	focus-009	focused	S10	ordinary	gpt-5.6-sol	high	C-U133	completed	/root/focus_u017	2026-09-08T01:41:56.493810+00:00	2026-09-08T01:43:58.855826+00:00
F-U018	focus-009	focused	S10	challenging	gpt-5.6-sol	high	C-U134	completed	/root/focus_u018	2026-09-08T01:43:58.927240+00:00	2026-09-08T01:46:14.635437+00:00
F-U019	focus-010	focused	S10	ordinary	gpt-5.6-sol	high	C-U135	completed	/root/focus_u019	2026-09-08T01:43:59.000486+00:00	2026-09-08T01:46:14.705552+00:00
F-U020	focus-010	focused	S10	challenging	gpt-5.6-sol	high	C-U136	completed	/root/focus_u020	2026-09-08T01:43:59.078663+00:00	2026-09-08T01:46:14.783930+00:00
F-U021	focus-011	focused	S10	ordinary	gpt-5.6-sol	high	C-U141	completed	/root/focus_u021	2026-09-08T01:43:59.173982+00:00	2026-09-08T01:46:14.854236+00:00
F-U022	focus-011	focused	S10	challenging	gpt-5.6-sol	high	C-U142	running	/root/focus_u022	2026-09-08T01:45:18.017726+00:00	
F-U023	focus-012	focused	S10	ordinary	gpt-5.6-sol	high	C-U143	running	/root/focus_u023	2026-09-08T01:46:14.924565+00:00	
F-U024	focus-012	focused	S10	challenging	gpt-5.6-sol	high	C-U144	running	/root/focus_u024	2026-09-08T01:46:14.992150+00:00	
