consumer_id	creator_id	stage	case	variant	model	effort	paired_consumer_id
F-U001	focus-001	focused	S03	ordinary	gpt-5.6-sol	high	C-U037
F-U002	focus-001	focused	S03	challenging	gpt-5.6-sol	high	C-U038
F-U003	focus-002	focused	S03	ordinary	gpt-5.6-sol	high	C-U039
F-U004	focus-002	focused	S03	challenging	gpt-5.6-sol	high	C-U040
F-U005	focus-003	focused	S03	ordinary	gpt-5.6-sol	high	C-U045
F-U006	focus-003	focused	S03	challenging	gpt-5.6-sol	high	C-U046
F-U007	focus-004	focused	S03	ordinary	gpt-5.6-sol	high	C-U047
F-U008	focus-004	focused	S03	challenging	gpt-5.6-sol	high	C-U048
F-U009	focus-005	focused	S06	ordinary	gpt-5.6-sol	high	C-U085
F-U010	focus-005	focused	S06	challenging	gpt-5.6-sol	high	C-U086
F-U011	focus-006	focused	S06	ordinary	gpt-5.6-sol	high	C-U087
F-U012	focus-006	focused	S06	challenging	gpt-5.6-sol	high	C-U088
F-U013	focus-007	focused	S06	ordinary	gpt-5.6-sol	high	C-U093
F-U014	focus-007	focused	S06	challenging	gpt-5.6-sol	high	C-U094
F-U015	focus-008	focused	S06	ordinary	gpt-5.6-sol	high	C-U095
F-U016	focus-008	focused	S06	challenging	gpt-5.6-sol	high	C-U096
F-U017	focus-009	focused	S10	ordinary	gpt-5.6-sol	high	C-U133
F-U018	focus-009	focused	S10	challenging	gpt-5.6-sol	high	C-U134
F-U019	focus-010	focused	S10	ordinary	gpt-5.6-sol	high	C-U135
F-U020	focus-010	focused	S10	challenging	gpt-5.6-sol	high	C-U136
F-U021	focus-011	focused	S10	ordinary	gpt-5.6-sol	high	C-U141
F-U022	focus-011	focused	S10	challenging	gpt-5.6-sol	high	C-U142
F-U023	focus-012	focused	S10	ordinary	gpt-5.6-sol	high	C-U143
F-U024	focus-012	focused	S10	challenging	gpt-5.6-sol	high	C-U144
