trial_id	stage	role	case	arm	model	effort	execution	agent
cal-001	calibration	creator	S01	A	gpt-5.6-luna	low	completed; not graded	/root/cal_001
cal-002	calibration	creator	S01	C	gpt-5.6-luna	low	completed; not graded	/root/cal_002
cal-003	calibration	creator	S01	A	gpt-5.6-sol	high	completed; not graded	/root/cal_003
cal-004	calibration	creator	S01	C	gpt-5.6-sol	high	completed; not graded	/root/cal_004
cal-005	calibration	creator	S05	A	gpt-5.6-luna	low	completed; not graded	/root/cal_005
cal-006	calibration	creator	S05	C	gpt-5.6-luna	low	completed; not graded	/root/cal_006
cal-007	calibration	creator	S05	A	gpt-5.6-sol	high	completed; not graded	/root/cal_007
cal-008	calibration	creator	S05	C	gpt-5.6-sol	high	completed; not graded	/root/cal_008
cal-009	calibration	creator	S10	A	gpt-5.6-luna	low	completed; not graded	/root/cal_009
cal-010	calibration	creator	S10	C	gpt-5.6-luna	low	completed; not graded	/root/cal_010
cal-011	calibration	creator	S10	A	gpt-5.6-sol	high	completed; not graded	/root/cal_011
cal-012	calibration	creator	S10	C	gpt-5.6-sol	high	completed; not graded	/root/cal_012
